county,year,death_cancellations,pop,deaths
Richmond,2015,1513,201333,1989
Richmond,2016,1379,201801,1959
Richmond,2017,1555,201460,1947
Richmond,2018,1566,201554,1992
Rockdale,2012,411,85437,612
Rockdale,2013,89,86502,652
Rockdale,2014,482,87193,621
Rockdale,2015,531,88379,638
Rockdale,2016,503,89021,693
Rockdale,2017,538,89866,718
Rockdale,2018,606,90594,771
Schley,2012,51,5022,41
Schley,2013,18,5093,40
Schley,2014,32,5187,38
Schley,2015,40,5206,43
Schley,2016,29,5173,31
Schley,2017,32,5254,42
Schley,2018,36,5236,37
Screven,2012,149,14168,168
Screven,2013,122,14143,157
Screven,2014,153,13999,189
Screven,2015,155,14056,177
Screven,2016,125,14000,139
Screven,2017,132,13959,166
Screven,2018,158,13938,175
Seminole,2012,76,8868,114
Seminole,2013,24,8844,105
Seminole,2014,74,8599,123
Seminole,2015,101,8561,116
Seminole,2016,80,8424,146
Seminole,2017,95,8287,123
Seminole,2018,94,8315,142
Spalding,2012,462,63682,663
Spalding,2013,358,63509,715
Spalding,2014,535,63694,765
Spalding,2015,548,63826,706
Spalding,2016,540,64570,756
Spalding,2017,630,65403,786
Spalding,2018,647,66100,793
Stephens,2012,236,25721,378
Stephens,2013,176,25568,307
Stephens,2014,232,25424,301
Stephens,2015,254,25472,344
Stephens,2016,214,25664,355
Stephens,2017,257,25785,367
Stephens,2018,292,26035,372
Stewart,2012,57,6105,72
Stewart,2013,9,5558,71
Stewart,2014,112,5886,72
Stewart,2015,70,5930,58
Stewart,2016,61,6015,60
Stewart,2017,65,6179,70
Stewart,2018,60,6199,67
Sumter,2012,177,31586,318
Sumter,2013,90,31339,286
Sumter,2014,245,31169,330
Sumter,2015,259,30685,364
Sumter,2016,251,30356,368
Sumter,2017,359,29817,409
Sumter,2018,252,29733,362
Talbot,2012,61,6625,79
Talbot,2013,50,6539,80
Talbot,2014,80,6520,79
Talbot,2015,107,6485,97
Talbot,2016,67,6354,77
Talbot,2017,74,6257,79
Talbot,2018,85,6272,95
Taliaferro,2012,25,1675,19
Taliaferro,2013,27,1690,24
